label,mean_predicted_probability,fraction_positives
raw_logistic,0.06377616962921935,0.125
raw_logistic,0.15643926130973826,0.2727272727272727
raw_logistic,0.25552195815993034,0.25
raw_logistic,0.34600978487614836,0.2222222222222222
raw_logistic,0.45707144367426367,0.5
raw_logistic,0.5446038082127691,0.55
raw_logistic,0.6567257646737538,0.7058823529411765
raw_logistic,0.7559237534381892,0.8181818181818182
raw_logistic,0.8439774550402687,0.75
raw_logistic,0.9382305748609029,0.8571428571428571
temperature_scaled,0.17115673028018408,0.25
temperature_scaled,0.2603470912842269,0.2
temperature_scaled,0.35805986081405616,0.2777777777777778
temperature_scaled,0.45117921405497885,0.34285714285714286
temperature_scaled,0.549110599750179,0.6216216216216216
temperature_scaled,0.652041049197302,0.8235294117647058
temperature_scaled,0.7449219279471968,0.8
temperature_scaled,0.8312879762166402,0.6666666666666666
raw_logistic,0.05964568847746673,0.0
raw_logistic,0.1569063625210988,0.36363636363636365
raw_logistic,0.24667089779763124,0.2
raw_logistic,0.357378586942243,0.5555555555555556
raw_logistic,0.44205725673956775,0.35294117647058826
raw_logistic,0.5563856329288243,0.6
raw_logistic,0.6526101900215803,0.5
raw_logistic,0.7408198133661391,0.7333333333333333
raw_logistic,0.8552908951469536,0.7647058823529411
raw_logistic,0.9514883515918487,1.0
temperature_scaled,0.09317182292935373,0.0
temperature_scaled,0.16611437170221444,0.0
temperature_scaled,0.2654384554903228,0.3076923076923077
temperature_scaled,0.34714088974501095,0.19047619047619047
temperature_scaled,0.4519023700599456,0.44
temperature_scaled,0.5460948217417783,0.5555555555555556
temperature_scaled,0.6495595011983597,0.7777777777777778
temperature_scaled,0.7436534356045221,0.75
temperature_scaled,0.8523991704316788,1.0
temperature_scaled,0.9055510083152543,1.0
raw_logistic,0.04807052972495892,0.0
raw_logistic,0.1627203307898171,0.08333333333333333
raw_logistic,0.23612475454969864,0.07142857142857142
raw_logistic,0.3590982423725219,0.3333333333333333
raw_logistic,0.44830397763803354,0.4444444444444444
raw_logistic,0.5534385218468343,0.5714285714285714
raw_logistic,0.6471462299053073,0.6428571428571429
raw_logistic,0.7670963378843841,0.9285714285714286
raw_logistic,0.8492083423688364,0.9285714285714286
raw_logistic,0.9672711623115209,1.0
temperature_scaled,0.07148667460271306,0.0
temperature_scaled,0.16846641443164953,0.0
temperature_scaled,0.24839301492244886,0.10526315789473684
temperature_scaled,0.3634379172095101,0.23076923076923078
temperature_scaled,0.4477550309265989,0.45454545454545453
temperature_scaled,0.5527378568971265,0.56
temperature_scaled,0.6403226676458047,0.7272727272727273
temperature_scaled,0.7445319764710873,0.8888888888888888
temperature_scaled,0.8282505251600129,1.0
temperature_scaled,0.9450659760998231,1.0
