seed_shrinkage,selected_method,selected_c_value,selected_blend_weight,selected_ensemble_type,log_loss,brier_score,ece
1.0,hybrid_platt,1.0,0.3,single,0.5522542269000216,0.18621983580857024,0.0739550980233805
0.5,hybrid_platt,1.0,0.3,single,0.554243458694249,0.18707739606230236,0.07148106974912817
0.25,hybrid_platt,1.0,0.3,single,0.555830538079198,0.18775979527305706,0.07326116312163525
0.05,hybrid_platt,1.0,0.3,single,0.5580280919488688,0.18861797973933847,0.07600189974710624
