experiment,model,log_loss_mean,log_loss_std,brier_score_mean,brier_score_std,ece_mean,ece_std,pct_above_095_mean,pct_above_095_std,pct_between_040_070_mean,pct_between_040_070_std
logistic_baseline,logistic_baseline,0.47233810506413954,,0.1550240505813465,,0.059880943276931484,,0.029850746268656716,,0.39552238805970147,
seed_robustness,boosting_raw,0.5950404229510478,0.0013271345694833802,0.20358219199888467,0.0006016794927026091,0.08914168082676859,0.0012092486952162591,0.0,0.0,0.6537313432835821,0.008508771829098104
subsample_stability,boosting_subsample,0.594147260412876,0.0008685805640791121,0.20319891439979698,0.0004103547258212837,0.08754665831677781,0.0014997772610807207,0.0,0.0,0.6626865671641791,0.01617871894677518
