variant,medium_gap_predicted_upset_rate,medium_gap_actual_upset_rate,medium_gap_upset_gap,large_gap_predicted_higher_seed_win,large_gap_actual_higher_seed_win,large_gap_calibration_gap
production,0.32706114569647393,0.3888888888888889,-0.06182774319241496,0.8086726397399068,0.8,0.008672639739906729
medium_gap_correction_0.03,0.35706114569647407,0.3888888888888889,-0.031827743192414826,0.8086726397399068,0.8,0.008672639739906729
