feature_set,c_value,variant,log_loss,brier_score,ece,temperature
replace_both_interactions,0.2,raw_logistic,0.5491171952476038,0.18465707306292578,0.06806033968572926,1.0
replace_both,1.0,raw_logistic,0.5513473270458222,0.18543006051441746,0.07430067168357773,1.0
replace_predictive_rank,1.0,raw_logistic,0.5513705870488106,0.18545449827328195,0.07434535493115585,1.0
baseline_compact,1.0,raw_logistic,0.5523546367121815,0.18427686477622995,0.07535889346858303,1.0
replace_eff_margin,0.2,raw_logistic,0.5526473566497351,0.18435932828833043,0.06717272247886803,1.0
hybrid_minimal,0.2,raw_logistic,0.5570441007901439,0.1860693500744185,0.0845623990162463,1.0
