label,mean_predicted_probability,fraction_positives
raw,0.06377616962921935,0.125
raw,0.15643926130973826,0.2727272727272727
raw,0.25552195815993034,0.25
raw,0.34600978487614836,0.2222222222222222
raw,0.45707144367426367,0.5
raw,0.5446038082127691,0.55
raw,0.6567257646737538,0.7058823529411765
raw,0.7559237534381892,0.8181818181818182
raw,0.8439774550402687,0.75
raw,0.9382305748609029,0.8571428571428571
hybrid_platt,0.08054821129262427,0.25
hybrid_platt,0.1559573306171006,0.2
hybrid_platt,0.24724200051697542,0.18181818181818182
hybrid_platt,0.3521729358660453,0.2608695652173913
hybrid_platt,0.46038199923222445,0.47368421052631576
hybrid_platt,0.5403020725757135,0.5714285714285714
hybrid_platt,0.6418854767141716,0.7222222222222222
hybrid_platt,0.7470523186056343,0.8
hybrid_platt,0.8488738973962915,0.8
hybrid_platt,0.9208350411572392,0.6666666666666666
raw,0.05964568847746673,0.0
raw,0.1569063625210988,0.36363636363636365
raw,0.24667089779763124,0.2
raw,0.357378586942243,0.5555555555555556
raw,0.44205725673956775,0.35294117647058826
raw,0.5563856329288243,0.6
raw,0.6526101900215803,0.5
raw,0.7408198133661391,0.7333333333333333
raw,0.8552908951469536,0.7647058823529411
raw,0.9514883515918487,1.0
hybrid_platt,0.0728824930876196,0.0
hybrid_platt,0.14995984412224733,0.2
hybrid_platt,0.24637031574821391,0.3157894736842105
hybrid_platt,0.34509591947596346,0.35714285714285715
hybrid_platt,0.4465336628636581,0.3333333333333333
hybrid_platt,0.549722129328286,0.6
hybrid_platt,0.6573918029606627,0.6428571428571429
hybrid_platt,0.7471665295171259,0.7692307692307693
hybrid_platt,0.8364018448851406,0.7142857142857143
hybrid_platt,0.9295498951116647,1.0
raw,0.04807052972495892,0.0
raw,0.1627203307898171,0.08333333333333333
raw,0.23612475454969864,0.07142857142857142
raw,0.3590982423725219,0.3333333333333333
raw,0.44830397763803354,0.4444444444444444
raw,0.5534385218468343,0.5714285714285714
raw,0.6471462299053073,0.6428571428571429
raw,0.7670963378843841,0.9285714285714286
raw,0.8492083423688364,0.9285714285714286
raw,0.9672711623115209,1.0
hybrid_platt,0.05899112369855049,0.0
hybrid_platt,0.17055244705736955,0.1
hybrid_platt,0.24332674723088876,0.0625
hybrid_platt,0.3638252102773657,0.2857142857142857
hybrid_platt,0.448467689527925,0.47368421052631576
hybrid_platt,0.5522508825699268,0.5909090909090909
hybrid_platt,0.6421130506299957,0.6153846153846154
hybrid_platt,0.7611404354321013,0.8823529411764706
hybrid_platt,0.846239198781609,1.0
hybrid_platt,0.9562778869943473,1.0
