experiment,seed,model,test_season,label,log_loss,brier_score,ece,pct_above_095,pct_between_040_070
logistic_baseline,-1,logistic_baseline,2025,logistic_baseline,0.47233810506413954,0.1550240505813465,0.059880943276931484,0.029850746268656716,0.39552238805970147
seed_robustness,11,boosting_raw,2025,boosting_raw,0.5930342022983178,0.20266927812673174,0.08796194956012009,0.0,0.6492537313432836
seed_robustness,23,boosting_raw,2025,boosting_raw,0.5962350272967089,0.20417591667268886,0.0880973627029451,0.0,0.6417910447761194
seed_robustness,37,boosting_raw,2025,boosting_raw,0.5945239383689424,0.2033572542945216,0.08904401644804492,0.0,0.664179104477612
seed_robustness,51,boosting_raw,2025,boosting_raw,0.5952330598285339,0.20367604474976111,0.09087788442351778,0.0,0.6567164179104478
seed_robustness,73,boosting_raw,2025,boosting_raw,0.5961758869627358,0.20403246615072013,0.08972719099921506,0.0,0.6567164179104478
subsample_stability,11,boosting_subsample,2025,boosting_subsample,0.5952791327688741,0.20370548687513837,0.08534024021206228,0.0,0.6567164179104478
subsample_stability,23,boosting_subsample,2025,boosting_subsample,0.5945764218537966,0.20342666784466318,0.08669783354316606,0.0,0.6567164179104478
subsample_stability,37,boosting_subsample,2025,boosting_subsample,0.5940397913370008,0.20311958013516324,0.08814281856655763,0.0,0.6417910447761194
subsample_stability,51,boosting_subsample,2025,boosting_subsample,0.5939126362642837,0.20314000351165945,0.088654560303784,0.0,0.6791044776119403
subsample_stability,73,boosting_subsample,2025,boosting_subsample,0.5929283198404253,0.20260283363236076,0.08889783895831907,0.0,0.6791044776119403
