Season,variant,label,log_loss,brier_score,ece
2018,production,production,0.6307203348593977,0.21451027613786777,0.11576762847308246
2019,production,production,0.5178351062729195,0.17979228774080797,0.1287251131177203
2021,production,production,0.6380696415806211,0.22712964460814394,0.17234608067302565
2022,production,production,0.698939461647991,0.2386966488921715,0.18351693027991878
2023,production,production,0.6004177004957489,0.20297568323616144,0.10455616406946303
2024,production,production,0.5665231233597771,0.19421892217453238,0.07474340853202198
2025,production,production,0.47051898689672134,0.15438510111298526,0.13705701242237966
Overall,production,production,0.5888986370747911,0.2016182567027153,0.07070690629554995
2018,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.6308148890966732,0.21454282682761744,0.11456796545571456
2019,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.5149244811833679,0.17856111321877216,0.12145950357957443
2021,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.6307339418856129,0.22418211637471322,0.1645449714444313
2022,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.695004243618514,0.2370056587600684,0.16960309985291944
2023,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.5892311089636616,0.19830949284017216,0.08741763073041142
2024,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.5594136730315004,0.19133107648385225,0.07558479388574861
2025,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.4771762110702782,0.15703780255015146,0.13675615573241393
Overall,medium_gap_underdog_three_point_rate,medium_gap_underdog_three_point_rate,0.5852313436560643,0.2000872087955845,0.06920960865646529
2018,medium_gap_tempo_diff,medium_gap_tempo_diff,0.6342458357818526,0.21623600119732111,0.11556665894561534
2019,medium_gap_tempo_diff,medium_gap_tempo_diff,0.5203151907481032,0.18076004709118929,0.10023935387052828
2021,medium_gap_tempo_diff,medium_gap_tempo_diff,0.6379387601314876,0.22707145637259585,0.17528814313729255
2022,medium_gap_tempo_diff,medium_gap_tempo_diff,0.6995108161649104,0.23901637575584725,0.18370766998900215
2023,medium_gap_tempo_diff,medium_gap_tempo_diff,0.6005008672031835,0.20300696644781874,0.10451731304332149
2024,medium_gap_tempo_diff,medium_gap_tempo_diff,0.5663645635569198,0.19417067631605742,0.07468004157348332
2025,medium_gap_tempo_diff,medium_gap_tempo_diff,0.47054596134931503,0.15446385692500048,0.13718518922671893
Overall,medium_gap_tempo_diff,medium_gap_tempo_diff,0.5898148181636009,0.20205027566392736,0.07084267197384438
2018,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.6286200335829154,0.21393739717740995,0.12566445439299706
2019,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.5180127510148853,0.17987002813991462,0.12088967942608259
2021,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.6362971023290829,0.2268222678483644,0.17112481767318424
2022,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.6986062109802289,0.23879893284687817,0.192354710379664
2023,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.6001475873994381,0.20299967866952132,0.08809498582970635
2024,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.5663124064408104,0.19418102773590654,0.0919739927419167
2025,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.47054655408659746,0.15441149921305553,0.1375744638456844
Overall,medium_gap_a_offense_vs_b_defense,medium_gap_a_offense_vs_b_defense,0.5882608123259532,0.20152045609280347,0.07498390203879704
2018,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.629636089228771,0.2135951948851567,0.17165756364590617
2019,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.5119564032163163,0.1776370660477596,0.1380106444611058
2021,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.6333643761334492,0.22509342205498142,0.15819353612611825
2022,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.6955278392441973,0.2386466740711979,0.14621333489084246
2023,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.6272014367893891,0.21185766654974186,0.1359265943370439
2024,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.5724204586194416,0.1972415223411965,0.09695072767988547
2025,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.47379037901704857,0.15621893052470837,0.13826708816152997
Overall,medium_gap_three_point_pct_diff,medium_gap_three_point_pct_diff,0.5918968663130847,0.20285121474733492,0.07848433350853519
2018,medium_gap_correction_0.01,medium_gap_correction_0.01,0.6287328915111144,0.21383882607153845,0.11382732996561977
2019,medium_gap_correction_0.01,medium_gap_correction_0.01,0.5170884814777398,0.179546764350266,0.1276803369983173
2021,medium_gap_correction_0.01,medium_gap_correction_0.01,0.6360716040116952,0.22658121273793833,0.17174002006696512
2022,medium_gap_correction_0.01,medium_gap_correction_0.01,0.6974606028328113,0.2383073414280815,0.19162484378096678
2023,medium_gap_correction_0.01,medium_gap_correction_0.01,0.5991614952365494,0.20274136338714105,0.0891128053163046
2024,medium_gap_correction_0.01,medium_gap_correction_0.01,0.5651321234818916,0.19375069437675,0.09863947895827849
2025,medium_gap_correction_0.01,medium_gap_correction_0.01,0.471609864698504,0.15479677431640124,0.13989283331790203
Overall,medium_gap_correction_0.01,medium_gap_correction_0.01,0.5877909222943563,0.20131226116244844,0.07318183993182115
2018,medium_gap_correction_0.02,medium_gap_correction_0.02,0.626953554174078,0.21322409242311965,0.12407919932253436
2019,medium_gap_correction_0.02,medium_gap_correction_0.02,0.5165005115949192,0.17935198722838078,0.12037446120472309
2021,medium_gap_correction_0.02,medium_gap_correction_0.02,0.6343064321798507,0.22608126571621762,0.1711339594609045
2022,medium_gap_correction_0.02,medium_gap_correction_0.02,0.6961913417299151,0.23796579515802138,0.2090741620206505
2023,medium_gap_correction_0.02,medium_gap_correction_0.02,0.5981362913074921,0.20256674503065794,0.0917993724804837
2024,medium_gap_correction_0.02,medium_gap_correction_0.02,0.5639261422033623,0.19333918299687808,0.09092044854237148
2025,medium_gap_correction_0.02,medium_gap_correction_0.02,0.47281080156837174,0.15526516393772766,0.1427286542134244
Overall,medium_gap_correction_0.02,medium_gap_correction_0.02,0.5868738751636868,0.20106011177602776,0.07147445894835583
2018,medium_gap_correction_0.03,medium_gap_correction_0.03,0.6253685011580661,0.21266607519261124,0.12243740827775823
2019,medium_gap_correction_0.03,medium_gap_correction_0.03,0.5160638828293906,0.1792079563751523,0.11287036509079683
2021,medium_gap_correction_0.03,medium_gap_correction_0.03,0.6327561784386101,0.2256298035429817,0.17052789885484387
2022,medium_gap_correction_0.03,medium_gap_correction_0.03,0.6951183778186699,0.23767201008199113,0.18827441188069294
2023,medium_gap_correction_0.03,medium_gap_correction_0.03,0.5973282836005188,0.20245182816671217,0.09448593964466281
