seed_gap_bucket,games,predicted_higher_seed_win,actual_higher_seed_win,calibration_gap
small_gap_1_2,78,0.5871537935484363,0.5641025641025641,0.023051229445872234
medium_gap_3_5,126,0.672938854303526,0.6111111111111112,0.0618277431924148
large_gap_6_plus,230,0.808672639739907,0.8,0.008672639739906951
