model_variant,log_loss,brier_score,ece,c_value,blend_weight,ensemble_type
current_hybrid_platt,0.5477344031313061,0.18469053495034152,0.06760544123795252,1.0,0.3,single
direct_logistic_regression,0.5491171952476038,0.18465707306292578,0.06806033968572926,0.0,0.0,raw
