variant,log_loss,brier_score,ece,medium_gap_predicted_upset_rate,medium_gap_actual_upset_rate,medium_gap_upset_gap,large_gap_calibration_gap
medium_gap_underdog_three_point_rate,0.5852313436560643,0.2000872087955845,0.06920960865646529,0.33686420612614054,0.3888888888888889,-0.05202468276274835,0.010586362502893354
medium_gap_correction_0.03,0.5861363846548048,0.20086180854345323,0.06904692674556107,0.35706114569647407,0.3888888888888889,-0.031827743192414826,0.008672639739906729
medium_gap_correction_0.02,0.5868738751636868,0.20106011177602776,0.07147445894835583,0.347061145696474,0.3888888888888889,-0.04182774319241489,0.008672639739906729
medium_gap_correction_0.01,0.5877909222943563,0.20131226116244844,0.07318183993182115,0.337061145696474,0.3888888888888889,-0.0518277431924149,0.008672639739906729
medium_gap_a_offense_vs_b_defense,0.5882608123259532,0.20152045609280347,0.07498390203879704,0.3355877606109193,0.3888888888888889,-0.05330112827796962,0.008361346943214776
production,0.5888986370747911,0.2016182567027153,0.07070690629554995,0.32706114569647393,0.3888888888888889,-0.06182774319241496,0.008672639739906729
medium_gap_tempo_diff,0.5898148181636009,0.20205027566392736,0.07084267197384438,0.3268681891975104,0.3888888888888889,-0.06202069969137852,0.008576282832177373
medium_gap_three_point_pct_diff,0.5918968663130847,0.20285121474733492,0.07848433350853519,0.3317861869212731,0.3888888888888889,-0.0571027019676158,0.009445400392730119
