label,mean_predicted_probability,fraction_positives
baseline_compact_c0.5_temperature_scaled,0.45297521540440977,0.43478260869565216
baseline_compact_c0.5_temperature_scaled,0.5470247845955903,0.5652173913043478
baseline_compact_c0.5_temperature_scaled,0.6473435977006563,0.7368421052631579
baseline_compact_c0.5_temperature_scaled,0.7414742445363431,0.7142857142857143
baseline_compact_c0.5_temperature_scaled,0.8437432488506356,0.875
baseline_compact_c0.5_temperature_scaled,0.9423787721926189,1.0
baseline_compact_c0.5_raw,0.05280195497973806,0.0
baseline_compact_c0.5_raw,0.16944226485028546,0.0
baseline_compact_c0.5_raw,0.24700256432977144,0.09090909090909091
baseline_compact_c0.5_raw,0.34884188562252744,0.22727272727272727
baseline_compact_c0.5_raw,0.4375700860219423,0.42105263157894735
baseline_compact_c0.5_raw,0.5624299139780579,0.5789473684210527
baseline_compact_c0.5_raw,0.6511581143774725,0.7727272727272727
baseline_compact_c0.5_raw,0.7529974356702286,0.9090909090909091
baseline_compact_c0.5_raw,0.8305577351497145,1.0
baseline_compact_c0.5_raw,0.947198045020262,1.0
baseline_compact_c0.5_temperature_scaled,0.05076689469507722,0.0
baseline_compact_c0.5_temperature_scaled,0.1392922271960527,0.0
baseline_compact_c0.5_temperature_scaled,0.26006892744117155,0.09090909090909091
baseline_compact_c0.5_temperature_scaled,0.3522047930202747,0.15789473684210525
baseline_compact_c0.5_temperature_scaled,0.44005461765753073,0.37037037037037035
baseline_compact_c0.5_temperature_scaled,0.5599453823424693,0.6296296296296297
baseline_compact_c0.5_temperature_scaled,0.6477952069797253,0.8421052631578947
baseline_compact_c0.5_temperature_scaled,0.7399310725588286,0.9090909090909091
baseline_compact_c0.5_temperature_scaled,0.8607077728039473,1.0
baseline_compact_c0.5_temperature_scaled,0.9492331053049228,1.0
baseline_compact_c1.0_raw,0.052702310679898466,0.2222222222222222
baseline_compact_c1.0_raw,0.13929372064433582,0.0
baseline_compact_c1.0_raw,0.24713714924600996,0.2857142857142857
baseline_compact_c1.0_raw,0.3379426251646906,0.35294117647058826
baseline_compact_c1.0_raw,0.46535439223476804,0.47368421052631576
baseline_compact_c1.0_raw,0.5346456077652318,0.5263157894736842
baseline_compact_c1.0_raw,0.6620573748353094,0.6470588235294118
baseline_compact_c1.0_raw,0.75286285075399,0.7142857142857143
baseline_compact_c1.0_raw,0.8607062793556641,1.0
baseline_compact_c1.0_raw,0.9472976893201016,0.7777777777777778
baseline_compact_c1.0_temperature_scaled,0.07151027834488463,1.0
baseline_compact_c1.0_temperature_scaled,0.1325848787361771,0.0
baseline_compact_c1.0_temperature_scaled,0.24744040880855928,0.09090909090909091
baseline_compact_c1.0_temperature_scaled,0.36251025791604496,0.3181818181818182
baseline_compact_c1.0_temperature_scaled,0.45964399269292155,0.42857142857142855
baseline_compact_c1.0_temperature_scaled,0.5403560073070783,0.5714285714285714
baseline_compact_c1.0_temperature_scaled,0.637489742083955,0.6818181818181818
baseline_compact_c1.0_temperature_scaled,0.7525595911914406,0.9090909090909091
baseline_compact_c1.0_temperature_scaled,0.8674151212638229,1.0
baseline_compact_c1.0_temperature_scaled,0.9284897216551153,0.0
baseline_compact_c1.0_raw,0.0419039262326998,0.0
baseline_compact_c1.0_raw,0.14518946643658465,0.23076923076923078
baseline_compact_c1.0_raw,0.2553371192825468,0.23529411764705882
baseline_compact_c1.0_raw,0.35691013375491987,0.5384615384615384
baseline_compact_c1.0_raw,0.4505027927475669,0.375
baseline_compact_c1.0_raw,0.5494972072524333,0.625
