metric,coefficient,abs_coefficient,normalized_weight_pct,direction
off_eff_diff,0.8461770991485691,0.8461770991485691,32.91048915456335,team A advantage
def_eff_edge,0.6778784649741385,0.6778784649741385,26.364825864575234,team A advantage
site_advantage,0.5581885188809865,0.5581885188809865,21.709707359509967,team A advantage
three_point_pct_diff,-0.16281733125316933,0.16281733125316933,6.332478177173603,team B advantage
a_offense_vs_b_defense,0.10046016852138724,0.10046016852138724,3.9072119653385116,team A advantage
b_offense_vs_a_defense,-0.09817235224454693,0.09817235224454693,3.818231593685406,team B advantage
seed_edge,0.05493363691885532,0.05493363691885532,2.1365419412293556,team A advantage
seed_a_offense_vs_b_defense,0.04284118041790124,0.04284118041790124,1.666228269390307,team A advantage
tov_rate_edge,0.01638200476128043,0.01638200476128043,0.6371476970584667,team A advantage
underdog_three_point_rate,0.010013915734911633,0.010013915734911633,0.3894726831063257,team A advantage
underdog_a_offense_vs_b_defense,-0.0032765125714244742,0.0032765125714244742,0.1274338806322657,team B advantage
underdog_tempo_diff,5.949987675633547e-06,5.949987675633547e-06,0.00023141373722564254,team A advantage
