metric,predicted,actual,gap
overall_upset_rate,0.27054608599262464,0.29723502304147464,-0.026688937048850003
small_gap_1_2_upset_rate,0.41284620645156356,0.4358974358974359,-0.023051229445872345
large_gap_6_plus_upset_rate,0.1913273602600931,0.2,-0.008672639739906923
medium_gap_3_5_upset_rate,0.32706114569647393,0.3888888888888889,-0.06182774319241496
